#{"t_start": 1624019661.3561766, "env_id": "CartPole-v1"}
r,l,t
1.0,1,1.549181
1.0,1,1.561287
1.0,1,1.563224
1.0,1,1.564899
1.0,1,1.566584
1.0,1,1.568244
1.0,1,1.56991
1.0,1,1.571622
1.0,1,1.573288
1.0,1,1.574977
1.0,1,1.576635
1.0,1,1.578284
1.0,1,1.57995
1.0,1,1.581607
1.0,1,1.583446
1.0,1,1.584987
1.0,1,1.586713
1.0,1,1.588456
1.0,1,1.590205
1.0,1,1.591768
1.0,1,1.593462
1.0,1,1.595133
1.0,1,1.596871
1.0,1,1.598668
1.0,1,1.600493
1.0,1,1.601966
1.0,1,1.6038
1.0,1,1.605508
1.0,1,1.607217
1.0,1,1.608902
1.0,1,1.610623
1.0,1,1.612381
1.0,1,1.613975
1.0,1,1.615786
1.0,1,1.617569
1.0,1,1.619361
1.0,1,1.621216
1.0,1,1.623292
1.0,1,1.625337
1.0,1,1.627141
1.0,1,1.628915
1.0,1,1.630739
1.0,1,1.632548
1.0,1,1.634335
1.0,1,1.636234
1.0,1,1.638065
1.0,1,1.639915
1.0,1,1.641759
1.0,1,1.643579
1.0,1,1.645322
1.0,1,1.647122
1.0,1,1.649314
1.0,1,1.651189
1.0,1,1.65298
1.0,1,1.654786
1.0,1,1.656563
1.0,1,1.658288
1.0,1,1.660092
1.0,1,1.66193
1.0,1,1.663764
1.0,1,1.665629
1.0,1,1.667469
1.0,1,1.669197
1.0,1,1.670945
1.0,1,1.672693
1.0,1,1.67441
1.0,1,1.676166
1.0,1,1.678374
1.0,1,1.680501
1.0,1,1.682454
1.0,1,1.684453
1.0,1,1.686714
1.0,1,1.688591
1.0,1,1.69047
1.0,1,1.692267
1.0,1,1.694139
1.0,1,1.695847
1.0,1,1.697597
1.0,1,1.699336
1.0,1,1.70104
1.0,1,1.702911
1.0,1,1.70478
1.0,1,1.706609
1.0,1,1.708408
1.0,1,1.710312
1.0,1,1.712082
1.0,1,1.713829
1.0,1,1.715509
1.0,1,1.71723
1.0,1,1.71893
1.0,1,1.720779
1.0,1,1.722546
1.0,1,1.724283
1.0,1,1.726079
1.0,1,1.728012
1.0,1,1.72984
1.0,1,1.731675
1.0,1,1.733514
1.0,1,1.735408
1.0,1,1.737198
1.0,1,1.73895
1.0,1,1.740722
1.0,1,1.7426
1.0,1,1.744377
1.0,1,1.746134
1.0,1,1.7479
1.0,1,1.749743
1.0,1,1.75159
1.0,1,1.753388
1.0,1,1.755222
1.0,1,1.757038
1.0,1,1.758924
1.0,1,1.760757
1.0,1,1.762566
1.0,1,1.764352
1.0,1,1.766232
1.0,1,1.768056
1.0,1,1.769851
1.0,1,1.771689
1.0,1,1.773512
1.0,1,1.775403
1.0,1,1.777263
1.0,1,1.779086
1.0,1,1.780794
1.0,1,1.782596
1.0,1,1.784355
1.0,1,1.786021
1.0,1,1.787719
1.0,1,1.789428
1.0,1,1.791278
1.0,1,1.793064
1.0,1,1.794847
1.0,1,1.796605
1.0,1,1.798424
1.0,1,1.800253
1.0,1,1.802061
1.0,1,1.803864
1.0,1,1.805624
1.0,1,1.807447
1.0,1,1.809251
1.0,1,1.811031
1.0,1,1.812784
1.0,1,1.814658
1.0,1,1.816486
1.0,1,1.818353
1.0,1,1.820176
1.0,1,1.822081
1.0,1,1.823701
1.0,1,1.825315
1.0,1,1.82994
1.0,1,1.832137
1.0,1,1.83542
1.0,1,1.837644
1.0,1,1.839637
1.0,1,1.841741
1.0,1,1.843831
1.0,1,1.845821
1.0,1,1.847697
1.0,1,1.849532
1.0,1,1.85135
1.0,1,1.853173
1.0,1,1.855101
1.0,1,1.856863
1.0,1,1.858602
1.0,1,1.860344
1.0,1,1.862189
1.0,1,1.863911
1.0,1,1.865611
1.0,1,1.867316
1.0,1,1.869011
1.0,1,1.870816
1.0,1,1.87256
1.0,1,1.874321
1.0,1,1.876057
1.0,1,1.87787
1.0,1,1.879661
1.0,1,1.881476
1.0,1,1.883272
1.0,1,1.885087
1.0,1,1.886978
1.0,1,1.888686
1.0,1,1.890347
1.0,1,1.892023
1.0,1,1.893738
1.0,1,1.895416
1.0,1,1.897184
1.0,1,1.899016
1.0,1,1.900852
1.0,1,1.902715
1.0,1,1.904504
1.0,1,1.90627
1.0,1,1.908042
1.0,1,1.909871
1.0,1,1.911615
1.0,1,1.913371
1.0,1,1.915126
1.0,1,1.916888
1.0,1,1.918746
1.0,1,1.920506
1.0,1,1.9222
1.0,1,1.92394
1.0,1,1.925651
1.0,1,1.927468
1.0,1,1.929228
1.0,1,1.931001
1.0,1,1.932739
1.0,1,1.934483
1.0,1,1.936247
1.0,1,1.938078
1.0,1,1.939792
1.0,1,1.941532
1.0,1,1.943264
1.0,1,1.945007
1.0,1,1.946727
1.0,1,1.948477
1.0,1,1.950312
1.0,1,1.952122
1.0,1,1.953885
1.0,1,1.955599
1.0,1,1.957301
1.0,1,1.959095
1.0,1,1.960878
1.0,1,1.962616
1.0,1,1.964366
1.0,1,1.96617
1.0,1,1.967896
1.0,1,1.969605
1.0,1,1.971324
1.0,1,1.972995
1.0,1,1.974807
1.0,1,1.976557
1.0,1,1.978257
1.0,1,1.979923
1.0,1,1.981679
1.0,1,1.983457
1.0,1,1.985213
1.0,1,1.986965
1.0,1,1.988717
1.0,1,1.990601
1.0,1,1.992659
1.0,1,1.994598
1.0,1,1.996351
1.0,1,1.99844
1.0,1,2.000331
1.0,1,2.002161
1.0,1,2.003983
1.0,1,2.005891
1.0,1,2.007652
1.0,1,2.009433
1.0,1,2.011225
1.0,1,2.012974
1.0,1,2.014857
1.0,1,2.016693
1.0,1,2.018509
1.0,1,2.020364
1.0,1,2.022467
1.0,1,2.024252
1.0,1,2.026057
1.0,1,2.028195
1.0,1,2.030519
1.0,1,2.032667
1.0,1,2.034851
1.0,1,2.036939
1.0,1,2.039024
1.0,1,2.041116
1.0,1,2.043289
1.0,1,2.045379
1.0,1,2.047436
1.0,1,2.049795
1.0,1,2.051714
1.0,1,2.053622
1.0,1,2.055568
1.0,1,2.057438
1.0,1,2.059231
1.0,1,2.061015
1.0,1,2.062815
1.0,1,2.064606
1.0,1,2.066423
1.0,1,2.068215
1.0,1,2.070035
1.0,1,2.071921
1.0,1,2.07376
1.0,1,2.075844
1.0,1,2.077979
1.0,1,2.079895
1.0,1,2.081738
1.0,1,2.083585
1.0,1,2.085399
1.0,1,2.087337
1.0,1,2.089182
1.0,1,2.091015
1.0,1,2.092888
1.0,1,2.094805
1.0,1,2.09655
1.0,1,2.098299
1.0,1,2.100061
1.0,1,2.101783
1.0,1,2.103636
1.0,1,2.105484
1.0,1,2.107342
1.0,1,2.109183
1.0,1,2.111092
1.0,1,2.112888
1.0,1,2.114664
1.0,1,2.116422
1.0,1,2.118187
1.0,1,2.119999
1.0,1,2.121776
1.0,1,2.123571
1.0,1,2.125295
1.0,1,2.127115
1.0,1,2.129098
1.0,1,2.13108
1.0,1,2.133039
1.0,1,2.135005
1.0,1,2.136829
1.0,1,2.138633
1.0,1,2.140459
1.0,1,2.142319
1.0,1,2.144111
1.0,1,2.145916
1.0,1,2.147708
1.0,1,2.149448
1.0,1,2.151292
1.0,1,2.153145
1.0,1,2.154984
1.0,1,2.156816
1.0,1,2.158641
1.0,1,2.160486
1.0,1,2.162275
1.0,1,2.164066
1.0,1,2.165836
1.0,1,2.16757
1.0,1,2.169365
1.0,1,2.171147
1.0,1,2.172914
1.0,1,2.174684
1.0,1,2.176474
1.0,1,2.178259
1.0,1,2.180089
1.0,1,2.181918
1.0,1,2.183767
